date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,0.5779389927541507,0.43583880132148195,0.5096273665432396,0.4022290465864368,0.4251818302796883
2015-03-06,0.6015288981201767,0.487185449573514,0.43996388553303034,0.29362491594329004,0.4487346739501192
2015-03-09,0.625083559413408,0.42547226236234187,0.4121641184519597,0.28531522967102707,0.41947574096412044
2015-03-10,0.5959667245085809,0.426400069351541,0.42487619501634843,0.30179321551296073,0.4327216212206826
2015-03-11,0.6205994098605624,0.45310928638459974,0.5128072548137157,0.3670293749760749,0.3879894412622062
2015-03-12,0.5889057997245506,0.44978640044929347,0.5061968161596571,0.3619614510049666,0.38728186706191414
2015-03-13,0.5737303936846976,0.43213728291176384,0.4943555825467843,0.34620905734282736,0.3657069088719088
2015-03-16,0.5457712625909344,0.449155695061098,0.4154724208225996,0.31945496292739506,0.34078556683335465
2015-03-17,0.534302944935428,0.382763031298192,0.4291746922741825,0.31593755854714606,0.3316871813118461
2015-03-18,0.5315163668230211,0.3868892263842817,0.42835030953530406,0.304830578927132,0.31282260705223763
2015-03-19,0.5085995984180323,0.331035740640169,0.396986721127137,0.2805356127056542,0.2852642289145306
2015-03-20,0.41139041333017623,0.2462231293340192,0.3678466684943692,0.2303803366464862,0.24137006689353974
2015-03-23,0.41093231156786486,0.25013184527799015,0.3597739899013891,0.23041112367411395,0.2335841854426329
2015-03-24,0.361092380004669,0.21500872984975283,0.300001200908717,0.21198554926812693,0.17716457875623534
2015-03-25,0.31022192288803546,0.16439085556513094,0.2220675858438073,0.16467305423650014,0.13248241291681112
2015-03-26,0.3097586142575958,0.1801576667384113,0.2640724073147872,0.18943474756326859,0.16957131707796125
2015-03-27,0.3028302853893575,0.1990244937503561,0.2867391158091602,0.1980665425531932,0.17294069245752305
2015-03-30,0.24096803435449887,0.16329078781460293,0.21749739843725058,0.13702359069457806,0.12552047677902603
2015-03-31,0.1364152655386293,0.10010726065777131,0.13712414056500546,0.06302824390740265,0.052065342346286125
2015-04-01,0.07330204305889147,0.045996352287745394,0.07048021300347376,0.02044942425631276,0.00220615849483462
2015-04-02,0.13788928334556458,0.0867593184283334,0.13139191235619202,0.061581535611766554,0.06077221327948747
2015-04-03,0.08745570650549592,0.03688572774435214,0.05880526153729772,-0.00167570127087603,0.010385239941475022
2015-04-07,0.00552152152963985,-0.020859644831020232,-0.01500263985247514,-0.043048926076137944,-0.027407353650867695
2015-04-08,-0.03366429807186877,-0.07412497147555737,-0.06397395720867392,-0.08308698201770043,-0.057773482503559535
2015-04-09,-0.0121475671460612,-0.007928476387673158,-0.0507205499364488,-0.09282298689371124,-0.037478400871376015
