date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,,,,,
2015-04-03,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,,,,,
2015-04-20,,,,,
2015-04-21,,,,,
2015-04-22,,,,,
2015-04-23,,,,,
2015-04-24,,,,,
2015-04-27,,,,,
2015-04-28,,,,,
2015-04-29,,,,,
2015-04-30,,,,,
2015-05-04,0.015712678860040543,0.16178107789795193,0.1770683990994917,0.07576710213571454,0.09034341352952015
2015-05-05,0.002491741292157074,0.1407873199448083,0.20964265714122238,0.16794461473352104,0.19266363128041658
2015-05-06,0.007222962986455017,0.18946877382950517,0.1712724023100517,0.1487689870310409,0.2792221040264748
2015-05-07,0.03351245031496407,0.1592185510397881,0.20791486414508042,0.195745082750853,0.30280024796632926
2015-05-08,0.007963950340403736,0.15451992789850685,0.15731492608927813,0.18793194290771836,0.3185209122015428
2015-05-11,0.006665460120667444,0.15273965284837143,0.13776870730588608,0.17219121944267818,0.21357608857606153
2015-05-12,0.0014041797440274895,0.14735253692571096,0.11367823800852851,0.14908008426877947,0.17820798754918474
2015-05-13,0.007160368086888724,0.13024129582042762,0.1370565651182009,0.18013445313790857,0.20702763430539828
2015-05-14,0.005283815421910731,0.1127573526885645,0.13879415926293825,0.18816138590811893,0.22234069194177705
2015-05-15,0.01860828467798988,0.12322374146185158,0.16734835694763942,0.2038093241167277,0.2530708500222959
2015-05-18,0.014122920202717427,0.11317126687858295,0.1585281528485331,0.1962457677525386,0.19287866425059635
2015-05-19,-0.01848856205499606,0.08240928781007861,0.08336390278225966,0.11647842624065723,0.12296369004460136
2015-05-20,-0.017627753561157665,0.09283725556382283,0.10657611007254372,0.12858704955314648,0.11471912881823279
2015-05-21,-0.03086132597135375,0.042668070118988405,0.05743737430936382,0.050367064645148174,0.01750680652926003
2015-05-22,-0.038646262978395594,-0.05441222066262873,-0.023523249379921694,-0.011795802499091353,-0.05829903769797433
