date,long_short
2015-03-05,0.4811891831294019
2015-03-06,0.527420463446353
2015-03-09,0.6253167291970336
2015-03-10,0.5356466874226795
2015-03-11,0.6088044305362003
2015-03-12,0.5477186766303954
2015-03-13,0.6460996373236131
2015-03-16,0.5981045403486238
2015-03-17,0.6052381376917153
2015-03-18,0.5200064369278019
2015-03-19,0.5135658679649948
2015-03-20,0.43773518985675974
2015-03-23,0.40941874151635593
2015-03-24,0.38899484883213353
2015-03-25,0.2990945696082886
2015-03-26,0.3152940222020709
2015-03-27,0.3187703388357985
2015-03-30,0.11280296772842019
2015-03-31,0.09278726731897392
2015-04-01,0.04024936150741876
2015-04-02,0.12990126474216368
2015-04-03,0.0345076740650323
2015-04-07,-0.05348093029857553
2015-04-08,-0.08600945422207568
2015-04-09,-0.08208882230292222
2015-04-10,-0.1079850347924475
2015-04-13,-0.10417159971152383
2015-04-14,-0.08371237978029689
2015-04-15,0.00655086647558659
2015-04-16,-0.06211283808876939
2015-04-17,-0.11003715349990315
2015-04-20,-0.116044374697478
2015-04-21,-0.09547323270275482
2015-04-22,-0.11548920064642591
2015-04-23,-0.10472933365608386
2015-04-24,-0.06521107537243706
2015-04-27,-0.08768648927080261
2015-04-28,-0.12678203578206718
2015-04-29,-0.04785200837798079
2015-04-30,-0.09174490862413694
2015-05-04,-0.0645533864450828
2015-05-05,-0.006051753223402526
2015-05-06,-0.015356444136979577
2015-05-07,0.06116015501057908
2015-05-08,-0.014088047513614366
2015-05-11,-0.009474366922478022
2015-05-12,-0.04305424694196225
2015-05-13,-0.02618378908182961
2015-05-14,0.003961649768385894
2015-05-15,0.007074405445473886
2015-05-18,-0.022354783100412112
2015-05-19,-0.03530766402741162
2015-05-20,-0.035460101299067986
2015-05-21,-0.08406705593828329
2015-05-22,-0.1861213663919133
2015-05-25,-0.15627626984855422
2015-05-26,-0.20678406285744472
2015-05-27,-0.23049768549733812
2015-05-28,-0.06779467706538947
2015-05-29,-0.06792732723174788
2015-06-01,-0.295384517884682
2015-06-02,-0.30553435254894556
2015-06-03,-0.35448078721942855
2015-06-04,-0.31146238129662734
2015-06-05,-0.2880836207377395
2015-06-08,-0.2547101665726589
2015-06-09,-0.2706720593995898
2015-06-10,-0.2830107365708378
2015-06-11,-0.2844027773050401
2015-06-12,-0.23962104886843585
2015-06-15,-0.23091021713042867
2015-06-16,-0.05651022432425429
2015-06-17,-0.13129294208062153
2015-06-18,0.027332534763985616
2015-06-19,0.18089368698490577
2015-06-23,0.27557922272971913
2015-06-24,0.2959766404656172
2015-06-25,0.24704356263945149
2015-06-26,0.21903276724722426
2015-06-29,0.16366387912301142
2015-06-30,0.18302566779152257
2015-07-01,0.19441930766383508
2015-07-02,0.13512110329878718
2015-07-03,0.08405522888506356
2015-07-06,0.07229111026889225
2015-07-07,-0.05200667128408384
2015-07-08,-0.11979801381628798
2015-07-09,-0.0975225279455359
2015-07-10,-0.09400410393206998
2015-07-13,-0.01679830280944966
2015-07-14,-0.014941206368084936
2015-07-15,-0.007701590476687448
2015-07-16,0.021066921167245505
2015-07-17,0.04133578075956251
2015-07-20,-0.010496938682457269
2015-07-21,0.025783393168037613
2015-07-22,-1.923288543133339e-05
2015-07-23,-0.026779136333160508
2015-07-24,-0.0328191515896846
