date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,0.13137585952754363,,,,
2015-04-03,0.07939401534181499,0.018356643356643554,,,
2015-04-07,0.04162525438960411,,,,
2015-04-08,0.02232608333647814,0.02528474964244955,,,
2015-04-09,0.05863354644432967,,,,
2015-04-10,0.07562002833058154,,,,
2015-04-13,0.07452817926767923,,,,
2015-04-14,0.06242178715615112,0.2147984538928771,,,
2015-04-15,0.07939326930500813,,,,
2015-04-16,0.02374740809690681,,0.17014814422664204,,
2015-04-17,0.022769698910347413,0.22987543723695572,,,
2015-04-20,0.01722466167270693,0.2196241506906014,,,
2015-04-21,0.047337585777346244,0.21187325632268314,,,
2015-04-22,0.05881949821185587,0.4321573948439621,,,
2015-04-23,0.07468087854574076,0.2939891170876172,,,
2015-04-24,0.11607670817402321,,,,
2015-04-27,0.11348924494177877,,,,
2015-04-28,0.11963477942203687,0.20695779246523274,,,
2015-04-29,0.07021019796446124,0.1499999999999999,,,
2015-04-30,0.07885528756926394,0.03726076293302424,,,
2015-05-04,0.08694434846451969,0.2164684973900586,,,
2015-05-05,0.1453057892055929,0.16508161880421376,,,
2015-05-06,0.2140627196711163,0.15722297739361432,,,
2015-05-07,0.23084343271158972,0.17050265722543892,,,
2015-05-08,0.17083323462753586,,,,
2015-05-11,0.13720484227270593,,,,
2015-05-12,0.12262949567344712,0.0872843537210225,,,
2015-05-13,0.1413064850072481,0.09795340640561138,,,
2015-05-14,0.14397759173000763,0.08414769290734599,,,
2015-05-15,0.17083928515319655,0.1288109216125047,,,
2015-05-18,0.12833721598222464,0.14233043185981364,,,
2015-05-19,0.0765149375759397,0.07217766810610726,,,
2015-05-20,0.08289248750598935,0.1082195870367012,,,
2015-05-21,0.025424538332706678,0.04184972493887731,,,
2015-05-22,-0.03851216379478662,0.009917472820845985,,,
2015-05-25,-0.046403980037917736,0.011580381471389734,,,
2015-05-26,-0.050945586274184385,0.005115961800818636,,,
2015-05-27,-0.07544050608980832,0.001701734453419812,,,
2015-05-28,-0.09310325274839067,-0.059879923761883974,,,
2015-05-29,-0.12041719422678455,,,,
2015-06-01,-0.16254778699326305,-0.09839220620774199,0.0008295625942684737,,
