date,Q1,Q2,Q3,Q4,Q5
2015-07-29,0.022211179424549976,0.0503189964743929,0.018349953784663444,0.02079681923489672,0.020526669005522444
2015-07-30,0.06588172913837798,0.07262804414117749,0.053593877732015786,0.05130523405942947,0.03083854856373944
2015-07-31,0.08261627337976392,0.09391463806488673,0.06403731476197769,0.06614757428061184,0.03494877499885303
2015-08-03,0.12703103141127794,0.11275891102612674,0.0841419053954686,0.06096757651847202,0.029751775757353504
2015-08-04,0.023747838189574533,0.0005551052561458084,0.000594852531996537,-0.031153679762810655,-0.00015586511553832282
2015-08-05,0.04531690130372299,0.03304712468667895,0.013241370968149525,-0.004857812687317196,0.009629046002034614
2015-08-06,0.033703686401557645,0.012865203567003233,0.0021803192212363266,-0.01901024934668918,-0.0003516828535486405
2015-08-07,-0.05526566048864553,-0.042526612949056325,-0.04581640154607921,-0.06733346013388503,-0.01910908504956188
2015-08-10,-0.19345825318364418,-0.16558795485344266,-0.17647790407885336,-0.18973387506586226,-0.07983268089211708
2015-08-11,-0.26249866107351383,-0.23296446861284695,-0.2608365114296664,-0.2488863287513701,-0.11672692680419354
2015-08-12,-0.251051426136223,-0.24645153128911343,-0.20911507799775686,-0.22167992776634918,-0.1023992874894698
2015-08-13,-0.2431614062147418,-0.22907251918794097,-0.1948465461830431,-0.18523731687288525,-0.08002073580309763
2015-08-14,-0.20742162230238118,-0.19055556066732093,-0.17313187503956334,-0.15348754103615592,-0.06618013179646796
2015-08-17,-0.23123883957275576,-0.21100141099470482,-0.18128789462652142,-0.14852678358543883,-0.07242187780924217
2015-08-18,-0.21891303264795692,-0.18661689741402088,-0.1340786508868074,-0.10686028627717974,-0.06072025686689703
2015-08-19,-0.25074031137574265,-0.21173012429225235,-0.14938273598810073,-0.11209323725783157,-0.06978452855608104
2015-08-20,-0.2116479956896417,-0.19090272584807075,-0.13918508093887572,-0.11683577606480772,-0.06329995432246419
2015-08-21,-0.14621265211668297,-0.13147032881693102,-0.09334233297463801,-0.07587792893549167,-0.03601779202322466
2015-08-24,-0.013082237131094654,-0.02416666994243344,0.023572309881070053,0.03991251638207132,0.033386998051770644
2015-08-25,0.0664294960843885,0.05882148060845796,0.10727539345201872,0.11808161990493996,0.06369049937182888
2015-08-26,0.08147450501753964,0.06448413928634149,0.06799075103129579,0.09479851292048641,0.03434505985001815
2015-08-27,-0.01709847374957325,-0.011799633223009538,0.015460538410220943,0.019993489041632832,-0.000120368081664457
2015-08-28,-0.11259886806185959,-0.11414514948317568,-0.052439993518582494,-0.03431042049013492,-0.024510323368407583
2015-08-31,-0.019823249500285613,-0.038802895182575105,0.016693261774415248,0.001356835381507388,0.006550399378605876
2015-09-01,-0.004957545586071166,-0.03295689433540968,-0.013991069697595315,-0.010743580138046709,0.01109295476150648
2015-09-02,0.03060417901925866,-0.015182925980301354,-0.01193755488528453,-0.007740663044941389,0.0203215488088761
2015-09-07,0.03403542113609144,-0.002330591715164143,0.0029300049250622685,0.021710058715949568,0.018066596291635217
2015-09-08,0.003908717248815152,-0.014927290256985606,-0.004937566675056015,0.012312530529858194,0.0127623601799698
2015-09-09,-0.04157077738465852,-0.06314771891838841,-0.04365415816663728,-0.023782709355536294,-0.02096850212761502
2015-09-10,-0.015735824322028313,-0.03381115532222439,-0.02477688125855002,-0.018137814804938972,-0.010188116391189116
