param_label,5,10,20,60
"n=10.0, atr_window=10.0",-0.018971309129590344,0.0025415260335387014,0.007895742053602748,-0.012127044400431702
"n=10.0, atr_window=22.0",-0.02098772980497893,-0.0014098297809661665,0.005102975246290992,-0.01150665182142463
"n=10.0, atr_window=40.0",-0.022522704504209776,-0.00168503369289381,0.005947418763796239,-0.011776886650305796
"n=22.0, atr_window=10.0",-0.0030421160241272268,0.015557683946219146,0.0066982977557985815,-0.010314034496997406
"n=22.0, atr_window=22.0",-0.007249008593019845,0.011526336322156558,0.0028516065614668912,-0.010630285785629167
"n=22.0, atr_window=40.0",-0.01000685613605903,0.0101601537168164,0.0032014225526832193,-0.011617093521955257
"n=40.0, atr_window=10.0",-0.0012453284342646286,0.011335420955336321,0.0024065226903167963,-0.012724859340449054
"n=40.0, atr_window=22.0",-0.00405792044043258,0.007266428122640361,-0.0007310649752720842,-0.013974322894030606
"n=40.0, atr_window=40.0",-0.007069141355297901,0.005397336423055475,-9.59088599511228e-05,-0.01272317326298797
