factor,success,runtime_sec,output_dir,error,n_symbols,n_dates,start_date,end_date,coverage_mean,rank_ic_mean_5d,rank_ic_ir_5d,rank_ic_mean_10d,rank_ic_ir_10d,rank_ic_mean_20d,rank_ic_ir_20d,rank_ic_mean_60d,rank_ic_ir_60d,best_params,best_ic_mean
HistoricalVaR,True,143.6,/home/gouzi/projects/invest/data/factors/HistoricalVaR_252_q05,,367,2768,2015-01-30,2026-06-25,0.4260387298987258,0.016205124583797022,0.04444466476017482,0.02339620075746792,0.06260111936813338,0.037153857410099286,0.0979937308324743,0.06186533164640223,0.16752034628046789,"{""window"": 120, ""period"": 60, ""ic_mean"": 0.06296185771121943}",0.06296185771121943
MADistance,True,233.6,/home/gouzi/projects/invest/data/factors/MADistance_close_5_60,,404,2768,2015-01-30,2026-06-25,0.4614709122646369,-0.0024482826247829237,-0.0064962290936754685,-0.0025463665167308968,-0.00674166693618199,-0.02522207056865334,-0.0683539279303812,-0.030834143882269172,-0.0913135249003552,"{""short_window"": 20, ""long_window"": 120, ""period"": 60, ""ic_mean"": 0.031782824422820447}",0.031782824422820447
BollingerBandPosition,True,239.7,/home/gouzi/projects/invest/data/factors/BollingerBandPosition_close_20_2.0,,420,2768,2015-01-30,2026-06-25,0.46144715111478113,-0.007436423555829187,-0.024323785543379717,0.014424822725417428,0.046576587050604044,0.01339514538333327,0.042464257861547124,-0.010732582445426141,-0.03596512791997414,"{""window"": 20, ""k"": 1.5, ""period"": 10, ""ic_mean"": 0.014424822725417428}",0.014424822725417428
MASlope,True,239.9,/home/gouzi/projects/invest/data/factors/MASlope_close_20_5,,417,2768,2015-01-30,2026-06-25,0.46229865818328,0.017407954886840063,0.047365502259627205,0.02003125095274837,0.054075052019852146,-0.0030977426953584133,-0.008559405143947922,-0.022823633436740366,-0.06438199112806105,"{""ma_window"": 10, ""slope_window"": 10, ""period"": 10, ""ic_mean"": 0.03236918368843312}",0.03236918368843312
CVaR,True,158.2,/home/gouzi/projects/invest/data/factors/CVaR_252_q05,,367,2768,2015-01-30,2026-06-25,0.4260387298987258,0.012097519772549381,0.03287658243142952,0.018312735791371354,0.04864446472478952,0.03212285788825205,0.08465341605599243,0.06227669578860533,0.1699506282716223,"{""window"": 120, ""period"": 60, ""ic_mean"": 0.06864380239934978}",0.06864380239934978
MFE,True,156.9,/home/gouzi/projects/invest/data/factors/MFE_20,,420,2768,2015-01-30,2026-06-25,0.4610858794384806,0.019368186462169708,0.0580389414358239,0.017128957015755543,0.05099917774196199,-0.005706871182364523,-0.017269924802082275,-0.02150882220066041,-0.06496084678874568,"{""window"": 10, ""period"": 10, ""ic_mean"": 0.02437595937904293}",0.02437595937904293
MAE,True,162.2,/home/gouzi/projects/invest/data/factors/MAE_20,,420,2768,2015-01-30,2026-06-25,0.4610858794384806,0.007472280945286253,0.022057763383997418,0.005327028306509677,0.015374398006054262,-0.0027293123247786257,-0.007980697266827982,0.012413134971795433,0.03777393895526764,"{""window"": 40, ""period"": 60, ""ic_mean"": 0.025218448190271}",0.025218448190271
RSRS,True,149.8,/home/gouzi/projects/invest/data/factors/RSRS_zscore_adj,,372,2768,2015-01-30,2026-06-25,0.433897966001616,0.007102891369921917,0.03419110263137223,0.011314913967844824,0.053286268505285915,0.010156802531484842,0.046986745926748306,0.0019989838460663357,0.009225233863106704,"{""regression_window"": 18, ""output"": ""zscore"", ""period"": 10, ""ic_mean"": 0.011314913967844824}",0.011314913967844824
ID,True,160.4,/home/gouzi/projects/invest/data/factors/ID_20,,419,2768,2015-01-30,2026-06-25,0.4616077710486018,-0.006542156326606758,-0.037615956819553285,-0.009584045500094073,-0.05556185573047195,0.0006077794480777944,0.003520636185825886,0.015810956073714265,0.0938090782159294,"{""window"": 40, ""period"": 60, ""ic_mean"": 0.020131648338958415}",0.020131648338958415
TrendR2,True,197.8,/home/gouzi/projects/invest/data/factors/TrendR2_120_r2,,386,2768,2015-01-30,2026-06-25,0.45656690826320045,0.017737905033336502,0.06842042013171698,0.029851661535323547,0.11288356862958474,0.04018140181474073,0.15536342638159184,0.06497689659714712,0.23732384847346624,"{""window"": 240, ""output"": ""slope"", ""period"": 60, ""ic_mean"": 0.10422678175015866}",0.10422678175015866
ATR,True,155.9,/home/gouzi/projects/invest/data/factors/ATR_25,,417,2768,2015-01-30,2026-06-25,0.46229865818328,0.001596668367842711,0.008481657929097957,-0.0014665711808254196,-0.007795699545280635,-0.008628599037722364,-0.04720874414289818,-0.021595671067270398,-0.12452282207812235,"{""window"": 14, ""period"": 5, ""ic_mean"": 0.003827085351402211}",0.003827085351402211
NewHighContinuous,True,152.6,/home/gouzi/projects/invest/data/factors/NewHighContinuous_50,,405,2768,2015-01-30,2026-06-25,0.46416363376864345,0.0001056376821049755,0.0003235968584666564,0.015383813642196544,0.047761826775729106,0.018542126009281866,0.05872021191839929,0.012767188462485797,0.044151343385892515,"{""window"": 20, ""period"": 20, ""ic_mean"": 0.01972554955429531}",0.01972554955429531
NewLowContinuous,True,144.9,/home/gouzi/projects/invest/data/factors/NewLowContinuous_50,,405,2768,2015-01-30,2026-06-25,0.46416363376864345,-0.004691999659083636,-0.013737395063069225,0.0011320012881228655,0.003233868102583987,-0.02258147203124382,-0.0629910309876149,-0.05130663373809489,-0.15287326739803647,"{""window"": 20, ""period"": 10, ""ic_mean"": 0.014582328583029646}",0.014582328583029646
DonchianChannelPosition,True,145.6,/home/gouzi/projects/invest/data/factors/DonchianPosition_20,,420,2768,2015-01-30,2026-06-25,0.46144715111478113,-0.0024858646214054258,-0.00852528429590084,0.017843194826647434,0.06046859712665982,0.013235037377051943,0.045200015856448665,-0.014547507126057279,-0.052256947733988875,"{""window"": 20, ""period"": 10, ""ic_mean"": 0.017843194826647434}",0.017843194826647434
ATRRatio,True,144.0,/home/gouzi/projects/invest/data/factors/ATRRatio_25,,417,2768,2015-01-30,2026-06-25,0.46229865818328,-0.006157083192458903,-0.01731385287352111,-0.01338330052782246,-0.03701831229696836,-0.030983887701689885,-0.08394089333792402,-0.06262768587432914,-0.17335987742018397,"{""window"": 20, ""period"": 5, ""ic_mean"": -0.0034512234076164165}",-0.0034512234076164165
ChandelierExit,True,200.7,/home/gouzi/projects/invest/data/factors/ChandelierExit_22_22,,419,2768,2015-01-30,2026-06-25,0.4616077710486018,-0.007249008593019845,-0.025697651989204245,0.011526336322156558,0.04042962432273797,0.0028516065614668912,0.00988889423197686,-0.010630285785629167,-0.039719064128714614,"{""n"": 22, ""atr_window"": 10, ""period"": 10, ""ic_mean"": 0.015557683946219146}",0.015557683946219146
