date,long_short
2015-03-06,0.03308541062427825
2015-03-09,0.024529682225916144
2015-03-10,0.058466725743633985
2015-03-11,0.05074167331893295
2015-03-12,0.04831203506690354
2015-03-13,0.04624709194543483
2015-03-16,0.08975661834815565
2015-03-17,0.07923116864364885
2015-03-18,0.085029908892903
2015-03-19,0.10286487008883029
2015-03-20,0.09371356724980298
2015-03-23,0.07837246487182668
2015-03-24,0.09108032921772585
2015-03-25,0.10501165879683895
2015-03-26,0.08406921235928759
2015-03-27,0.08563874020971597
2015-03-30,0.10313180555851782
2015-03-31,0.09722751947872452
2015-04-01,0.07365889485050967
2015-04-02,0.08355379345083433
2015-04-03,0.06861211655601386
2015-04-07,0.03254988460144873
2015-04-08,0.014216446383148673
2015-04-09,0.027239787149607828
2015-04-10,0.048429750426235325
2015-04-13,0.016249157640374656
2015-04-14,0.01118749268984464
2015-04-15,0.01140594656113919
2015-04-16,-0.028241267962684898
2015-04-17,-0.09337148378506852
2015-04-20,-0.037213924350040076
2015-04-21,-0.012114052851969467
2015-04-22,0.0014453056548846543
2015-04-23,-0.0016693306785162537
2015-04-24,-0.017454386544566464
2015-04-27,-0.028754942364651842
2015-04-28,-0.0704190724942431
2015-04-29,0.0303178981372198
2015-04-30,-0.05393444308771979
2015-05-04,0.07756587277578271
2015-05-05,0.01238593127494686
2015-05-06,0.01624269028671585
2015-05-07,0.020055756578003486
2015-05-08,0.05044869052851339
2015-05-11,0.012610156318209664
2015-05-12,0.09415620275579711
2015-05-13,0.1267279603464362
2015-05-14,0.058149974342008165
2015-05-15,0.037764104759131056
2015-05-18,0.09896626329332067
2015-05-19,0.08566623185194783
2015-05-20,0.08082951801259083
2015-05-21,0.022284571966070768
2015-05-22,0.016441741068218323
2015-05-25,-0.008611946042945275
2015-05-26,-0.04429217251537783
2015-05-27,-0.040299319836710985
2015-05-28,-0.06283489760634958
2015-05-29,-0.0788809117945568
2015-06-01,-0.0921335472358538
2015-06-02,-0.10002133097812071
2015-06-03,-0.11319887977379162
2015-06-04,-0.08431405890212287
2015-06-05,-0.05258550201609785
2015-06-08,-0.04830240518470655
2015-06-09,-0.03490268290573392
2015-06-10,-0.022852438037104184
2015-06-11,-0.02152719100062883
2015-06-12,-0.0650441934362426
2015-06-15,-0.05974477482253186
2015-06-16,-0.03474436567673868
2015-06-17,-0.06871004613673737
2015-06-18,-0.02781143244651961
2015-06-19,0.01882301308652866
2015-06-23,0.007341801309389953
2015-06-24,-0.006056459056990093
2015-06-25,0.015859515110568337
2015-06-26,-0.002375540353905338
2015-06-29,-0.00848059762263395
2015-06-30,-0.004672240728579136
2015-07-01,-0.01006508709881325
2015-07-02,-0.01983856096093567
2015-07-03,-0.03282533214615004
2015-07-06,-0.043828751485420765
2015-07-07,-0.09353055666262448
2015-07-08,-0.08261201813480636
2015-07-09,-0.045902766012798184
2015-07-10,-0.06104758042378597
2015-07-13,-0.0737751107103055
2015-07-14,-0.05111543930951798
2015-07-15,-0.0854449387140117
2015-07-16,-0.071549472189267
2015-07-17,-0.05139261405224832
2015-07-20,-0.03509176632301965
2015-07-21,-0.005086733062065505
2015-07-22,-0.010415171127348001
2015-07-23,-0.0019128064722580065
2015-07-24,-0.0137910624211212
2015-07-27,-0.010518093416897217
2015-07-28,-0.02936975203357703
2015-07-29,0.02680470873494134
2015-07-30,0.006780756680534988
2015-07-31,0.02839375809524805
2015-08-03,-0.00018071728470259174
2015-08-04,-0.007680052306746649
2015-08-05,-0.05809659219279599
2015-08-06,-0.027509417699630834
2015-08-07,-0.038983786647146135
2015-08-10,-0.052674002136463144
2015-08-11,-0.04341960948351467
2015-08-12,-0.02025861467446724
2015-08-13,-0.09249210053326068
2015-08-14,-0.11223249749839226
2015-08-17,-0.09536418862231333
2015-08-18,-0.0495923633067929
2015-08-19,-0.06461112071064928
2015-08-20,-0.021421584311011335
2015-08-21,-0.03598946520350059
2015-08-24,-0.054884607346559214
2015-08-25,-0.08364903230273205
2015-08-26,-0.059040713693363264
2015-08-27,-0.01667288849752744
2015-08-28,-0.002238731597261019
2015-08-31,-0.021763504735413646
2015-09-01,-0.04372757235566299
2015-09-02,-0.04332108718286767
2015-09-07,-0.051035009398768594
2015-09-08,-0.027870317621267782
2015-09-09,0.0053576061548385
2015-09-10,-0.023062053438391614
2015-09-11,-0.022516334349680575
2015-09-14,-0.040411515324784104
2015-09-15,-0.09329476116535715
2015-09-16,-0.056786787098305556
2015-09-17,-0.07045204078379921
2015-09-18,-0.0854666826408848
2015-09-21,-0.06087346386871386
2015-09-22,-0.08213572974953244
2015-09-23,-0.06194899093372032
2015-09-24,-0.040874660109368736
2015-09-25,-0.036840869728305775
2015-09-28,-0.006437599219787454
2015-09-29,-0.027391809258169322
2015-09-30,-0.014659089397201952
2015-10-08,0.021361473224407818
2015-10-09,0.05222222648446821
2015-10-12,0.025376698157784802
2015-10-13,0.03571352342773257
2015-10-14,0.011651069519207094
2015-10-15,0.03275024595490357
2015-10-16,0.03634907574813783
2015-10-19,0.04351104555073116
2015-10-20,0.054563709162606826
2015-10-21,0.06723460224766895
2015-10-22,0.06599035784267594
2015-10-23,0.061160844818372515
2015-10-26,0.07134433188354139
2015-10-27,0.05169267868929405
2015-10-28,0.061421367884634044
2015-10-29,0.048002782121729454
2015-10-30,0.03878567350578771
2015-11-02,0.037199740029700834
2015-11-03,0.034444256433297564
2015-11-04,-0.002678929382005899
2015-11-05,0.008887882809152647
2015-11-06,0.0018053376881053945
2015-11-09,-0.0007668400987914867
2015-11-10,-0.021561054439491325
2015-11-11,-0.010306604930661288
2015-11-12,-0.004855876945699809
2015-11-13,0.004470664371672792
2015-11-16,0.003042370524104429
2015-11-17,0.011805911751794372
2015-11-18,0.011206429791416506
2015-11-19,0.013079992425456162
2015-11-20,0.004920003775452198
2015-11-23,0.00958321996003142
2015-11-24,0.041240058026689674
2015-11-25,0.015542601049381044
2015-11-26,0.014235046001281844
2015-11-27,0.04146545279903756
2015-11-30,0.041781750506201726
2015-12-01,0.057030171861231646
2015-12-02,0.03974053459106789
2015-12-03,0.029118343829485457
2015-12-04,0.014702056026852916
2015-12-07,0.004445562874637994
2015-12-08,0.008505522524622633
2015-12-09,0.019393968134731668
2015-12-10,0.005477351591894268
2015-12-11,-0.01125191190385215
2015-12-14,0.02267186864133809
2015-12-15,-0.002711080152819262
2015-12-16,-0.03313063081265881
2015-12-17,-0.009643932118901966
2015-12-18,-0.03196799302696009
2015-12-21,-0.018621134187907035
2015-12-22,-0.014234067543765855
2015-12-23,-0.008318103030320434
2015-12-24,0.0021070055969008017
2015-12-25,0.016386425863707532
2015-12-28,0.022196088048937163
2015-12-29,-0.05233313873991291
2015-12-30,-0.0369526352161301
2015-12-31,0.0014578838918516968
2016-01-04,0.01632627691686961
2016-01-05,0.01255566419534472
2016-01-06,0.035746747282685926
2016-01-07,0.020137550551688047
2016-01-08,-0.0029612720104209844
2016-01-11,0.008685333783282012
2016-01-12,0.003255390095014299
2016-01-13,-0.011473571006435201
2016-01-14,-0.015196364829605867
2016-01-15,-0.01034837735747654
2016-01-18,-0.019273330696637676
2016-01-19,-0.01105794716626937
2016-01-20,-0.014411476853299736
2016-01-21,-0.0026442580156959307
2016-01-22,0.00044455273066654893
2016-01-25,-0.0017487452686708177
2016-01-26,-0.04040314205492309
2016-01-27,-0.038804277561545156
2016-01-28,-0.07068555536958868
2016-01-29,-0.048305267198165726
2016-02-01,-0.04342924539056471
2016-02-02,-0.03411310397334937
2016-02-03,-0.026713333786566464
2016-02-04,-0.004314586885846698
2016-02-05,-0.00635808212459946
2016-02-15,-0.02636176794921382
2016-02-16,-0.014911067112367499
2016-02-17,-0.03875963297581991
2016-02-18,-0.028420157060658088
2016-02-19,0.0014010863215753976
2016-02-22,-0.01718790196387986
2016-02-23,-0.01952706342942167
2016-02-24,-0.02312130302651802
2016-02-25,-0.006910734027193416
2016-02-26,-0.00767599677804176
2016-02-29,-0.014416924187560964
2016-03-01,-0.014569391269748842
2016-03-02,-0.015065581844564871
2016-03-03,0.011588665340837377
2016-03-04,-0.012038013932581818
2016-03-07,-0.010540569756470795
2016-03-08,-0.03349662867276776
2016-03-09,-0.028969795667421736
2016-03-10,-0.051314619719213216
2016-03-11,-0.06543923743655022
2016-03-14,-0.04048655260026219
2016-03-15,-0.06389347174756035
2016-03-16,-0.07479456754333796
2016-03-17,-0.0492108815757169
2016-03-18,-0.024753857547977792
2016-03-21,-0.03012989972236528
2016-03-22,-0.0019184777137307195
2016-03-23,0.005634120276752061
2016-03-24,0.011267017789250423
2016-03-25,0.0024240917227700224
2016-03-28,0.0056998339095525215
2016-03-29,0.007186921494215767
2016-03-30,-0.0033648048822146094
2016-03-31,0.007862325439646075
2016-04-01,0.004866164391787402
2016-04-05,0.010323539390318152
2016-04-06,-0.007520651846739258
2016-04-07,0.011107195926310508
2016-04-08,0.01102450730850979
2016-04-11,0.005286410008753559
2016-04-12,-0.01104773089482191
2016-04-13,-0.018917429448271773
2016-04-14,-0.017548960239966986
2016-04-15,-0.02696505745592022
