param_label,5,10,20,60
"short_window=10.0, long_window=120.0",0.009710738556502615,0.003757652733924477,-0.007015634319332442,0.024485555185025265
"short_window=10.0, long_window=40.0",0.005607793751664196,0.0024432011533214817,-0.020602568384593054,-0.03358419459494262
"short_window=10.0, long_window=60.0",-0.0016882815362524778,-0.0074305728494198624,-0.031739070959924905,-0.029774952762639823
"short_window=20.0, long_window=120.0",0.005164882234539883,-0.0049206616353332615,-0.010652210508002835,0.031782824422820447
"short_window=20.0, long_window=40.0",-0.003041224609356881,-0.014047666216235944,-0.034218930858471074,-0.03276104631408565
"short_window=20.0, long_window=60.0",-0.009114858195732205,-0.0215248203526166,-0.041077004122243785,-0.025753977747500635
"short_window=5.0, long_window=120.0",0.007580595300659428,0.006559908211197295,-0.004404003516339254,0.021142376263863383
"short_window=5.0, long_window=40.0",0.004853850261931375,0.007284745238479947,-0.014452692585397086,-0.03429227417032415
"short_window=5.0, long_window=60.0",-0.0024482826247829237,-0.0025463665167308968,-0.02522207056865334,-0.030834143882269172
