date,long_short
2015-06-01,-0.09974964722883961
2015-06-02,-0.1881485136819136
2015-06-03,-0.16712067301567335
2015-06-04,-0.17319840491480448
2015-06-05,-0.20809906167908687
2015-06-08,-0.19278013607648925
2015-06-09,-0.21180124765727443
2015-06-10,-0.19779461548841268
2015-06-11,-0.1900517180598235
2015-06-12,-0.14090968343715574
2015-06-15,-0.1515307993157571
2015-06-16,-0.1326201075861374
2015-06-17,-0.16481457677715217
2015-06-18,-0.16321613981936095
2015-06-19,-0.13307603512751193
2015-06-23,-0.1516305224579627
2015-06-24,-0.16053701232707102
2015-06-25,-0.15730436078304183
2015-06-26,-0.13145264557340205
2015-06-29,-0.12314234987108491
2015-06-30,-0.11093823312926743
2015-07-01,-0.11697715898757258
2015-07-02,-0.09142219846646736
2015-07-03,-0.0784191768975121
2015-07-06,-0.0679065968098924
2015-07-07,-0.024765644872236217
2015-07-08,-0.0008600677252112551
2015-07-09,-0.022250729823773907
2015-07-10,-0.06323150161807314
2015-07-13,-0.07650611478262005
2015-07-14,-0.07490966313610237
2015-07-15,-0.04601933725909247
2015-07-16,-0.05198585619239081
2015-07-17,-0.07939352011884504
2015-07-20,-0.1179221630078824
2015-07-21,-0.10503358052805467
2015-07-22,-0.10509959743286185
2015-07-23,-0.12312062874769267
2015-07-24,-0.11337297675037583
2015-07-27,-0.07532035371039976
2015-07-28,-0.07102874030427178
2015-07-29,-0.09627143107794568
2015-07-30,-0.0826144239959664
2015-07-31,-0.0801428144006476
2015-08-03,-0.02580966031394708
2015-08-04,-0.06708380819174024
2015-08-05,-0.03537159563380203
2015-08-06,0.0018294058166612448
2015-08-07,-0.016346712033221057
2015-08-10,-0.04811963245083164
2015-08-11,-0.03021962220207045
2015-08-12,-0.02650048883769989
2015-08-13,-0.024209412582842794
2015-08-14,-0.04540541975243081
2015-08-17,-0.05798199229999922
2015-08-18,-0.0019620662409109537
2015-08-19,-0.021610913762412455
2015-08-20,-0.020055022483369746
2015-08-21,0.00326069504088786
2015-08-24,0.0670855332195817
2015-08-25,0.14722319496135888
2015-08-26,0.10807640168133495
2015-08-27,0.1022175167293947
2015-08-28,0.058127415972599
2015-08-31,0.07361165032119887
2015-09-01,0.12639761130562738
2015-09-02,0.15373166952976658
2015-09-07,0.12003797176076339
2015-09-08,0.08342165175038561
2015-09-09,0.06780740723062814
2015-09-10,0.09019660299379416
2015-09-11,0.09052332058502542
2015-09-14,0.1464382334176853
2015-09-15,0.20968534522102641
2015-09-16,0.15562957508829173
2015-09-17,0.18062107263359017
2015-09-18,0.15641240221306013
2015-09-21,0.14028118136719936
2015-09-22,0.14854290970710438
2015-09-23,0.12314716115870232
