date,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
2015-01-30,,,,,,,,,,
2015-02-02,,,,,,,,,,
2015-02-03,,,,,,,,,,
2015-02-04,,,,,,,,,,
2015-02-05,,,,,,,,,,
2015-02-06,,,,,,,,,,
2015-02-09,,,,,,,,,,
2015-02-10,,,,,,,,,,
2015-02-11,,,,,,,,,,
2015-02-12,,,,,,,,,,
2015-02-13,,,,,,,,,,
2015-02-16,,,,,,,,,,
2015-02-17,,,,,,,,,,
2015-02-25,,,,,,,,,,
2015-02-26,,,,,,,,,,
2015-02-27,,,,,,,,,,
2015-03-02,,,,,,,,,,
2015-03-03,,,,,,,,,,
2015-03-04,,,,,,,,,,
2015-03-05,,,,,,,,,,
2015-03-06,0.1352825070229039,0.17301033193867665,0.17996097780482034,0.17958411898996757,0.11695420097207954,0.18488861334800952,0.19052978406947374,0.19029647084817233,0.25921341023148686,0.2740045658530076
2015-03-09,0.14120168445654255,0.1588664823405464,0.17492747480138415,0.19138704913566157,0.19068482542866322,0.15722051488507757,0.16150844715539675,0.17314190968858367,0.23896058879652354,0.2919974107139444
2015-03-10,0.17888544673665616,0.27200425170980824,0.196668416062441,0.1320471461668492,0.15051028220261542,0.1534164251534,0.19825109011609432,0.16198727865491747,0.2177830027400839,0.24648778851948056
2015-03-11,0.17793518941422876,0.15749570683790923,0.20844919110825566,0.13401353467153668,0.18925708290770227,0.14860676433376757,0.19942729891019922,0.18243574149037545,0.2089841627877535,0.23590100537412234
2015-03-12,0.15692544803554914,0.0908458569221378,0.13613744411058354,0.2047851037247459,0.1840645920879253,0.19720487935712655,0.19378234994167812,0.20822982562905634,0.258055798668004,0.23697024748643777
2015-03-13,0.12663614358776293,0.0553433626649932,0.22011516112729096,0.2153487690941785,0.20523136651749732,0.20536746140076184,0.1884071595502535,0.2373599939778091,0.2502524488518183,0.2467495028730411
2015-03-16,0.052576516859088575,0.12478083716026567,0.13993405633749723,0.2075123862943967,0.17243458279452475,0.1759533438706063,0.2094383188231236,0.16390764656890738,0.21044376847075924,0.18307380776765186
2015-03-17,0.05046288555689651,0.14566810763867424,0.09219566994657369,0.19598095560754092,0.17545438960291296,0.13225168374532204,0.17166435257110835,0.13619625076227818,0.1504183817366933,0.15162613315923495
2015-03-18,0.050471241839785484,0.07739989272095875,0.16129587208202995,0.20014997278384683,0.1712718274251291,0.13952435316596562,0.15569012920660996,0.13523375835254808,0.14886780952960862,0.13799994102842356
2015-03-19,0.051336433142021146,0.07481270712550132,0.19935956919002304,0.20602462853535902,0.2312370518983769,0.18326847204094143,0.18597503004122884,0.1540898522575454,0.14948921202871665,0.15287726311239216
2015-03-20,0.034912653664776847,0.0535280781344216,0.18203100475978698,0.17657818733355746,0.15481211397410358,0.1592727852890256,0.16519551524834974,0.13639473160203472,0.09266560154345242,0.09325805970530392
2015-03-23,0.05068946406283912,0.05225421951851463,0.13782987880775166,0.1529661889516058,0.16530941083597708,0.18444366828880293,0.17143876943853964,0.13377122947015235,0.10325909014142085,0.10927298893539819
