date,Q1,Q2,Q3,Q4,Q5
2015-07-30,-0.007982144504406794,0.0024386903086865974,-0.004566030340794909,-0.014209200333736516,0.001678691319474944
2015-07-31,0.013818514955598517,0.020777248064214895,0.026162901452921068,0.02087068171930405,0.03327175173508015
2015-08-03,0.047678894948443296,0.10871154280898317,0.08671914723018376,0.1028557961471171,0.053231710514847944
2015-08-04,0.028877744905430203,0.04902725716040295,0.055263619883551635,0.05510409269593248,0.021991323466552103
2015-08-05,0.031980132524950355,0.05492044281782439,0.05804939163330901,0.04627631288891275,0.02364211878937452
2015-08-06,0.04803002690296319,0.06669719514371748,0.07780680899139636,0.06634683047503367,0.03929173715597696
2015-08-07,0.030332204157102916,0.05122598955447269,0.06190288082346829,0.05019670335825648,0.025828422775624926
2015-08-10,0.0022205088864184707,-0.008958349398839894,0.0073958273058351565,0.00912935291249068,0.011609351791908884
2015-08-11,-0.039113398254686425,-0.06028127471504198,-0.04753514444194858,-0.035433314601390715,-0.01937092187956487
2015-08-12,-0.030926887806675064,-0.036576089459105704,-0.01845217943035845,-0.019633332209448677,-0.004635066531415333
2015-08-13,-0.06633542577871712,-0.05560136663494007,-0.05288393851119858,-0.04648810948008808,-0.028164792065036425
2015-08-14,-0.09720399582825401,-0.08833912012418593,-0.09649497389940051,-0.08971856322846082,-0.0547418585061951
2015-08-17,-0.17938962648769693,-0.1771355384272598,-0.17742588650721083,-0.17375779187022009,-0.1155822061446657
2015-08-18,-0.20124667216100534,-0.2146944860085835,-0.216596782758474,-0.196807529990216,-0.13500800582007202
2015-08-19,-0.18227300224884518,-0.2207392861676628,-0.21896794963923907,-0.20498144614080782,-0.11616883317549412
2015-08-20,-0.15520393651096778,-0.14807863110232158,-0.17539600980154613,-0.15759554788067,-0.08326241012914067
2015-08-21,-0.08461669340672424,-0.11666755167214417,-0.08127374422565899,-0.09208844287602187,-0.0290158810307518
2015-08-24,-0.025165212033097805,0.00159158255351794,-0.021322248312150894,-0.011399426623990948,0.03083296344539631
2015-08-25,0.05212387639976783,0.09927910238732816,0.05408706401347254,0.055682666584520625,0.06840379058577337
2015-08-26,0.026871206655529854,0.00390420883938922,0.06494181790470649,0.03580842457639913,0.04716429142820564
2015-08-27,-0.006641439073091782,0.007707607580495157,0.005847269063929583,-0.00526318969365432,-0.002451106845073425
2015-08-28,-0.031670164255983915,-0.034257384302416774,-0.007286813361612132,-0.01256301851019189,-0.005573168506155468
2015-08-31,0.015445241003493116,0.021951347028125807,0.018535168696728554,0.019789128673911346,0.013612045670502393
2015-09-01,0.03231381487638714,0.03480150103730311,0.004614067305740677,0.00770278018943318,0.0018861262225606185
2015-09-02,0.061668219111053066,0.06308013213605126,0.019849533599265147,0.01410575608420951,0.0012490747874568757
2015-09-07,0.0011854092755322677,-0.018789943090153756,-0.0005804766459867716,0.009679076361405636,0.012987366227217013
2015-09-08,-0.08731739747284886,-0.07191857738063312,-0.05741066505652882,-0.027354357119590667,-0.005358114966796357
2015-09-09,-0.04088776977151733,-0.054569047908020085,-0.022688251669343917,0.0027151042862541613,-0.0030552599661212267
2015-09-10,-0.048043237977303886,-0.036573777790272634,-0.034977972509449194,-0.012470402841735347,0.0014469741951946835
