date,long_short
2015-03-26,0.013561419346238255
2015-04-21,-0.03421732919446496
2015-04-29,0.022996583485879567
2015-05-07,0.06681450966411304
2015-05-08,0.04143920733524059
2015-05-13,0.04386295679949595
2015-05-14,0.07571146899261806
2015-05-15,0.016029980993408105
2015-05-18,-0.02557177680578282
2015-05-19,0.03698604391727256
2015-06-04,0.005275100097852701
2015-06-09,-0.029760072641045108
2015-06-10,-0.0034487110091201423
2015-06-11,-0.01955319083522302
2015-06-12,-0.05089851145055774
2015-06-15,-0.04947386191779925
2015-06-16,-0.02869020844759983
2015-06-17,-0.05027301200702494
2015-06-18,-0.09361511840829134
2015-06-19,-0.05070464542577407
2015-06-23,-0.028136962388833425
2015-06-24,-0.009746367373297787
2015-06-25,-0.0009384211671834425
2015-07-02,0.059556261711677244
2015-07-03,-0.01876656374071913
2015-07-30,-0.002924095764272273
2015-07-31,-0.04118276809295906
2015-08-03,-0.09258263719594227
2015-08-04,0.006881190666236426
2015-08-05,-0.014370514027996835
2015-08-06,-0.03242659767127702
2015-08-24,-0.06768666867989635
2015-08-25,-0.08991133346387792
2015-08-26,-0.05881010858971847
2015-08-27,-0.013610627321664504
2015-08-28,-0.019907712097200825
2015-08-31,-0.016258500983050594
2015-09-01,-0.01783832364569968
2015-09-02,-0.013370931636695015
2015-09-07,-0.013503939209706028
2015-09-08,0.013666064884460524
2015-09-10,6.974175396483664e-05
2015-09-23,-0.0034440237622808904
2015-09-24,-0.00640501279961787
2015-09-30,-0.0020698214527939546
2015-10-08,0.0021485328906401743
2015-11-24,-0.026083687285862918
2015-11-27,-0.008969194789446723
2015-11-30,0.009118974163716802
2015-12-01,-0.00965746082520701
2015-12-02,0.007597865277810607
2015-12-03,0.011388029373694951
2015-12-08,-0.007920631637879249
2015-12-10,-0.004355998027852401
2015-12-11,-0.009514237019027549
2016-02-25,-0.020918934852193365
2016-03-02,-0.014440179991933536
2016-03-03,0.0011934610111608525
2016-03-08,-0.0261722524642288
2016-03-09,-0.01998169812829791
2016-03-10,-0.04693038312757118
2016-03-14,-0.05459126577031124
2016-03-15,-0.05615193658169435
2016-03-16,-0.06564978813326305
2016-03-17,-0.038313797170676366
2016-03-29,0.03799477009716488
2016-03-30,-0.014182163072625237
2016-03-31,-0.017600541180026977
2016-04-08,0.01610419604807921
2016-04-11,-0.0027744691015078407
2016-04-12,0.0029812432376152276
2016-05-20,-0.008516200261787298
2016-05-24,-0.01359753581248414
2016-05-26,0.005727812194398142
2016-05-27,-0.012831621662177727
2016-06-06,-0.010815293403163347
2016-06-07,-0.02662504321385313
2016-06-08,-0.020686204977511707
2016-06-13,-0.003229783616070049
2016-06-14,0.003426109096938334
2016-06-15,0.0007871441882108298
2016-06-16,-0.005747542864344746
2016-06-17,0.01575451347313542
2016-06-20,0.01153490777288566
2016-06-21,0.019328928863460836
2016-06-22,0.015653882733286842
2016-06-23,0.010427754402380175
2016-06-24,-0.003375425589968669
2016-06-27,-0.015055064739274211
2016-06-28,-0.008861329844360475
2016-07-27,0.006807681426492471
2016-07-28,0.0025028561276492565
2016-07-29,-0.006084679405277789
2016-08-01,-0.008112243386429449
2016-08-02,-0.006548242309873429
2016-08-03,0.003159530283035273
2016-08-04,0.006014617561274658
2016-08-05,-0.01627967853024006
2016-08-08,-0.038324221415129714
2016-08-18,-0.007032675666594924
